PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,DailyDate,n_moves
59UmH,6R1/2bR2pp/4ppk1/2r5/2P2PP1/1r6/6P1/7K b - - 0 34,c7f4 g8g7 g6h6 g7h7 h6g5 d7g7,1473,76,97,13811,endgame long mate mateIn3,https://lichess.org/O5rzIFkb/black#68,,,6
WColi,6k1/4pp2/3p1bp1/P2R3p/r6P/4P1B1/5PP1/6K1 b - - 2 35,f6h4 g3h4 a4a1 g1h2,1105,115,82,22,crushing endgame master short,https://lichess.org/eRzftSop/black#70,,,4
AkSxZ,Nn3rk1/pp3p1p/5n2/6p1/4p1b1/2P3P1/PP3q1P/RN1QRB1K w - - 4 21,d1d2 g4f3 f1g2 f3g2,1377,80,91,262,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/VWQMxfWV#41,,,4
CuvX3,3r3k/p4Qp1/2p1P2p/8/8/1p1q2P1/PP4P1/KR6 w - - 0 31,e6e7 d3b1 a1b1 d8d1,1347,75,85,214,attraction endgame mate mateIn2 sacrifice short,https://lichess.org/e5MrwCOH#61,,,4
FoEVh,r5k1/p1p1rppp/2P5/6q1/1b2P1b1/2NB2P1/PPP2Q1P/R3K2R w KQ - 3 16,e1g1 b4c5 c3d5 c5f2,1199,75,95,1126,advantage middlegame pin short,https://lichess.org/YxxFTa1G#31,Four_Knights_Game Four_Knights_Game_Scotch_Variation_Accepted,,4
sCqd2,6r1/7K/6P1/4p3/4P3/8/pk6/4R3 b - - 3 48,g8c8 g6g7 a2a1q e1a1,1310,76,88,613,advancedPawn crushing endgame master rookEndgame short,https://lichess.org/1VURzg1V/black#96,,,4
fncFX,r5k1/p2bp1bp/2pp2p1/8/4q3/1P1B3P/P1PQ2P1/1N3R1K b - - 1 21,e4d5 d3c4 d5c4 b3c4,1086,76,89,1534,crushing middlegame pin short,https://lichess.org/zlc35AF6/black#42,,,4
RwtXH,8/1k4p1/1p2pp1p/1K6/3PP3/8/5PPP/8 w - - 0 31,d4d5 e6d5 e4d5 b7c7 d5d6 c7d6,1038,102,95,510,crushing endgame long pawnEndgame,https://lichess.org/Mv05uFh7#61,,,6
MKRgl,6r1/5p1k/4p2p/2p2q2/4N3/4PP2/5Q1K/3R4 w - - 4 45,d1g1 f5h5 f2h4 h5h4,1144,109,83,28,endgame mate mateIn2 short,https://lichess.org/Op6ffjvS#89,,,4
oDLWE,8/8/3p4/1K1P1p2/5P1k/7P/8/8 b - - 2 59,h4h3 b5c6 h3g3 c6d6 g3f4 d6e6 f4g4 d5d6 f5f4 d6d7 f4f3 d7d8q,1279,98,93,141,advancedPawn crushing endgame master pawnEndgame promotion veryLong,https://lichess.org/EFitG9DL/black#118,,,12
WWCT6,r3k2r/p1p1Rppp/2p2n2/5P2/2P2P2/1P1p2P1/P2N3P/q1B2Q1K b kq - 0 19,e8e7 c1a3 e7d8 f1a1,1379,74,97,3067,advantage discoveredAttack middlegame short,https://lichess.org/VxTxRGjz/black#38,,,4
gYAFC,1R6/8/8/7p/7P/8/3K4/qk6 b - - 1 60,b1a2 b8a8 a2b1 a8a1 b1a1 d2e3,1207,93,57,40,crushing defensiveMove endgame long queenRookEndgame skewer,https://lichess.org/03mtgvnP/black#120,,,6
ElH90,5rk1/1b2bppp/p7/1pp1P3/5P2/P1P5/3RBBPP/6K1 b - - 0 21,c5c4 d2d7 e7a3 d7b7,1277,86,90,3860,crushing endgame fork short,https://lichess.org/FdTUSuFp/black#42,,,4
nPETV,1k2R3/1pqr3p/p1p2p1p/P2r4/1Q3P2/1R5P/1PP3P1/6K1 b - - 7 25,b8a7 b4b6 c7b6 a5b6,1491,113,76,31,endgame mate mateIn2 short,https://lichess.org/us9OHvOK/black#50,,,4
IdOxL,8/kpQn2b1/p7/3p4/3Pq1pp/1P4P1/P3PP1P/2R3K1 w - - 2 31,c7d7 h4h3 d7d5 e4d5,1383,79,93,3677,crushing endgame short,https://lichess.org/PfTVKAaG#61,,,4
qxo2A,2b2r1k/3q3p/3p2p1/pp2PrQ1/5p2/P1PR1P2/1P5P/3RN2K w - - 1 35,d3d6 f5g5 d6d7 c8d7,1337,82,82,56,crushing master middlegame short,https://lichess.org/x7hrAgX4#69,,,4
Q1WcK,8/6p1/K4p1p/1p6/4k3/8/P5P1/8 b - - 0 43,f6f5 a6b5 e4e3 a2a4 f5f4 a4a5 g7g5 a5a6 g5g4 a6a7 f4f3 g2f3,1499,84,93,7231,advancedPawn crushing endgame pawnEndgame quietMove veryLong,https://lichess.org/fgQdGr0F/black#86,,,12
9ajTf,k7/1pp5/p1n1Q3/2N1p2p/4P2q/2P5/P5K1/8 b - - 3 34,h4e1 e6c8 c6b8 c8b7,1181,76,83,122,endgame master mate mateIn2 short,https://lichess.org/Bcuyw24t/black#68,,,4
QU8aG,1kr4r/1q3ppp/1b1Np3/3bP3/3P1P2/4Q3/1PR4P/2R3K1 b - - 2 26,b7a7 c2c8 h8c8 c1c8,1291,81,85,106,mate mateIn2 middlegame queensideAttack short,https://lichess.org/ekhjCkxp/black#52,,,4
ciaRl,r3r2k/p4Qp1/2p5/4q3/2P3P1/3Bb2R/P5P1/5K2 b - - 3 28,e3h6 h3h6 g7h6 f7h7,1142,75,100,308,mate mateIn2 middlegame sacrifice short,https://lichess.org/xROIo7VU/black#56,,,4
eNHmJ,2rr4/5pkp/1p2p1p1/3n4/5P2/qP3QP1/P4P1P/RR3BK1 w - - 10 26,f1c4 c8c4 b3c4 a3f3,1172,80,93,7864,crushing middlegame short,https://lichess.org/zJcihAMs#51,,,4
Y3SF6,8/6p1/pp4p1/1b2p2P/1bk3P1/4K1P1/1R1N4/8 b - - 1 39,c4c3 b2b3 c3c2 b3b4,1312,77,87,243,crushing deflection endgame master short,https://lichess.org/fwfaqO99/black#78,,,4
i5e6W,5r1k/2p3p1/p6p/1p1R4/4P3/qB3Q2/P1P3PP/7K w - - 3 25,f3d3 a3c1 d3d1 f8f1 d1f1 c1f1,1195,77,94,12956,endgame fork long mate mateIn3 xRayAttack,https://lichess.org/YswpaDSd#49,,,6
4ULxD,r4rk1/2q2pp1/p1b1pN1p/4P2Q/2pP1n2/2P4R/1PB3PP/R5K1 b - - 3 26,g8h8 h5h6 g7h6 h3h6 h8g7 h6h7,1090,85,94,10295,hookMate kingsideAttack long mate mateIn3 middlegame operaMate sacrifice,https://lichess.org/bd2hEMUy/black#52,,,6
tYwQM,4kb1r/1pp1pp2/7p/3qN1p1/2p5/2P1P1P1/1PQ1KPP1/3R4 b k - 0 25,d5e5 c2a4 c7c6 a4a8 e5b8 a8b8,1142,76,84,342,endgame long mate mateIn3,https://lichess.org/pYqY85kh/black#50,,,6
wyn8M,r3r1k1/pp3pbp/6p1/7n/1BQ5/1P3N2/q4PPP/2RR2K1 b - - 4 22,a8c8 c4c8 e8c8 c1c8,1139,80,93,1795,crushing middlegame short,https://lichess.org/bgADUZrl/black#44,,,4
yJrzk,8/8/1p6/p4k2/8/r3P1RP/5K2/8 b - - 3 49,b6b5 e3e4 f5e4 g3a3,1448,75,80,285,crushing discoveredAttack endgame rookEndgame short,https://lichess.org/HesRI7mS/black#98,,,4
SLjgr,r4rk1/pp1b1p2/4p2R/4P3/2B5/bPP3P1/P1Q5/1KB3q1 b - - 2 26,f8c8 c2h7 g8f8 h7h8 f8e7 h8f6,1043,77,87,567,crushing kingsideAttack long middlegame,https://lichess.org/ryXvgnat/black#52,,,6
TK8ny,2rq1rk1/pb3p1p/1p3bp1/n1p5/1n2B3/2Q2N2/PB2NPPP/R2R2K1 w - - 4 19,c3f6 d8f6 b2f6 b7e4,1307,78,91,471,advantage master middlegame short,https://lichess.org/sGd86CUL#37,,,4
dWiCx,r4rk1/1bpp1p1p/pb3q2/1p1P2p1/5N2/3P4/PPP2PPP/R1BQR1K1 w - - 0 15,f4h5 f6f2 g1h1 b7d5,1172,77,95,1045,advantage kingsideAttack middlegame short,https://lichess.org/hLQnc0Za#29,Ruy_Lopez Ruy_Lopez_Classical_Variation,,4
nH4OD,8/pp1nr1pp/2p1kp2/8/3N4/PP6/6PP/3R2K1 b - - 2 24,e6e5 d1e1 e5d4 e1e7,1393,75,95,5876,advantage endgame short skewer,https://lichess.org/HJ5avB8E/black#48,,,4
1fFzr,r5k1/3Q1p2/2p2p1p/q3p3/4P3/8/1PP2PPP/rNKR1B1R w - - 1 18,f1c4 a1b1 c1b1 a5a1,1064,77,86,82,attraction mate mateIn2 middlegame queensideAttack sacrifice short,https://lichess.org/ooi55j52#35,Sicilian_Defense Sicilian_Defense_Lowenthal_Variation,,4
XTcUe,3r2k1/1p3pp1/p1n4p/2P5/1P6/PQ1Bq3/6PP/3R1K2 b - - 1 26,c6d4 d3h7 g8h7 b3e3,1049,85,94,1767,crushing discoveredAttack endgame short,https://lichess.org/1pdgwYQT/black#52,,,4
5o2ro,2bN1bk1/1r3rp1/p4np1/2n5/1pQ5/8/PPP3PP/1K1R3R w - - 0 23,c4f7 b7f7 d8f7 g8f7,1301,75,75,380,advantage middlegame short,https://lichess.org/SVrCLjRE#45,,,4
